A,Agilent Technologies Inc. Common Stock,United States,1999,2692784,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,United States,2016,4691348,Industrials,Aluminum
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,United States,2025,366574,,
AACBR,Artius II Acquisition Inc. Rights,United States,2025,181408,,
AACBU,Artius II Acquisition Inc. Units,United States,2025,15174,Finance,Blank Checks
AACG,ATA Creativity Global American Depositary Shares,China,2008,11381,Real Estate,Other Consumer Services
AACIU,Armada Acquisition Corp. II Units,United States,2025,32280,Finance,Blank Checks
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,,2023,634601,Finance,Blank Checks
AAL,American Airlines Group Inc. Common Stock,United States,,43194482,Consumer Discretionary,Air Freight/Delivery Services
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,,2024,85,,
AAME,Atlantic American Corporation Common Stock,United States,,2832,Finance,Life Insurance
AAMI,Acadian Asset Management Inc. Common Stock,United Kingdom,2014,321464,Finance,Investment Managers
AAOI,Applied Optoelectronics Inc. Common Stock,United States,2013,2136618,Technology,Semiconductors
AAON,AAON Inc. Common Stock,United States,,419952,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,United States,,1984010,Consumer Discretionary,Auto & Home Supply Stores
AAPG,Ascentage Pharma Group International American Depository Shares,China,2025,9489,Health Care,Biotechnology: Pharmaceutical Preparations
AAPL,Apple Inc. Common Stock,United States,1980,43499322,Technology,Computer Manufacturing
AARD,Aardvark Therapeutics Inc. Common Stock,United States,2025,32573,Health Care,Biotechnology: Pharmaceutical Preparations
AAT,American Assets Trust Inc. Common Stock,United States,2011,423643,Real Estate,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,United States,,211390,Finance,Investment Managers
ABAT,American Battery Technology Company Common Stock,United States,,977995,Basic Materials,Metal Mining
ABBV,AbbVie Inc. Common Stock,United States,2012,4382209,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,United States,1994,232743,Finance,Major Banks
