"IPCXU","Inflection Point Acquisition Corp. III Units","United States","2025","640","Finance","Blank Checks"
"IPDN","Professional Diversity Network Inc. Common Stock","United States","2013","10370","Technology","Computer Software: Programming Data Processing"
"IPGP","IPG Photonics Corporation Common Stock","United States","2006","161275","Technology","Semiconductors"
"IPM","Intelligent Protection Management Corp. Common Stock ","United States","","14552","Consumer Discretionary","Business Services"
"IPOD","Dune Acquisition Corporation II Class A Ordinary Shares","United States","2025","204216","Finance","Blank Checks"
"IPODU","Dune Acquisition Corporation II Units","United States","2025","1888","Finance","Blank Checks"
"IPODW","Dune Acquisition Corporation II Warrants","United States","2025","197923","Finance","Blank Checks"
"IPSC","Century Therapeutics Inc. Common Stock","United States","2021","757922","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"IPW","iPower Inc. Common Stock","United States","2021","286665","Consumer Discretionary","RETAIL: Building Materials"
"IPWR","Ideal Power Inc. Common Stock","United States","2013","13486","Technology","Semiconductors"
"IPX","IperionX Limited American Depositary Share","United States","","47944","Basic Materials","Other Metals and Minerals"
"IQST","iQSTEL Inc. Common Stock","United States","","123731","Telecommunications","Telecommunications Equipment"
"IRBT","iRobot Corporation Common Stock","United States","2005","1631303","Consumer Discretionary","Consumer Electronics/Appliances"
"IRD","Opus Genetics Inc. Common Stock","United States","","252014","Health Care","Biotechnology: Pharmaceutical Preparations"
"IRDM","Iridium Communications Inc Common Stock","United States","","854090","Telecommunications","Telecommunications Equipment"
"IRIX","IRIDEX Corporation Common Stock","United States","1996","185749","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus"
"IRMD","iRadimed Corporation Common Stock","United States","2014","39461","Health Care","Medical/Dental Instruments"
"IROH","Iron Horse Acquisitions Corp. Common Stock","United States","2024","78785","Consumer Staples","Packaged Foods"
"IROHR","Iron Horse Acquisitions Corp. Right","United States","2024","19739","Consumer Staples","Packaged Foods"
"IROHW","Iron Horse Acquisitions Corp. Warrant","United States","2024","1451","Consumer Staples","Packaged Foods"
"IRON","Disc Medicine Inc. Common Stock","United States","","705221","Health Care","Biotechnology: Pharmaceutical Preparations"
"IROQ","IF Bancorp Inc. Common Stock","United States","2011","1556","Finance","Savings Institutions"
"IRTC","iRhythm Technologies Inc. Common Stock","United States","2016","315736","Health Care","Medical/Dental Instruments"
"IRWD","Ironwood Pharmaceuticals Inc. Class A Common Stock","United States","2010","1946418","Health Care","Biotechnology: Pharmaceutical Preparations"
"ISBA","Isabella Bank Corporation Common stock","United States","","22413","Finance","Major Banks"
"ISPC","iSpecimen Inc. Common Stock","United States","2021","112201","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"ISPO","Inspirato Incorporated Class A Common Stock","United States","2021","16088","Finance","Blank Checks"
"ISPOW","Inspirato Incorporated Warrant","United States","2021","101","Finance","Blank Checks"
"ISPR","Ispire Technology Inc. Common Stock","United States","2023","24203","Health Care"," Medicinal Chemicals and Botanical Products "
"ISRG","Intuitive Surgical Inc. Common Stock","United States","2000","2183018","Health Care","Industrial Specialties"
"ISRL","Israel Acquisitions Corp Class A Ordinary Shares","United States","2023","116041","Finance","Blank Checks"
"ISRLW","Israel Acquisitions Corp Warrant","United States","2023","537994","Finance","Blank Checks"
"ISSC","Innovative Solutions and Support Inc. Common Stock","United States","2000","297233","Technology","EDP Services"
"ISTR","Investar Holding Corporation Common Stock","United States","2014","16399","Finance","Major Banks"
"ITIC","Investors Title Company Common Stock","United States","","39739","Finance","Specialty Insurers"
"ITOS","iTeos Therapeutics Inc. Common Stock","United States","2020","1114742","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"ITRI","Itron Inc. Common Stock","United States","1993","558064","Industrials","Electrical Products"
"IVDA","Iveda Solutions Inc. Common Stock","United States","","74526","Technology","Computer Software: Prepackaged Software"
"IVDAW","Iveda Solutions Inc. Warrant","United States","","227","Technology","Computer Software: Prepackaged Software"
"IVF","INVO Fertility Inc. Common Stock","United States","","97840","Health Care","Medical/Dental Instruments"
"IVP","Inspire Veterinary Partners Inc. Class A Common Stock","United States","2023","27331","Consumer Staples","Farming/Seeds/Milling"
"IVVD","Invivyd Inc. Common Stock","United States","2021","786361","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"IZEA","IZEA Worldwide Inc. Common Stock","United States","","66617","Consumer Discretionary","Advertising"
"JACK","Jack In The Box Inc. Common Stock","United States","","1159669","Consumer Discretionary","Restaurants"
"JAGX","Jaguar Health Inc. Common Stock","United States","2015","71719","Health Care","Biotechnology: Pharmaceutical Preparations"
"JAKK","JAKKS Pacific Inc. Common Stock","United States","1996","144243","Consumer Discretionary","Recreational Games/Products/Toys"
"JAMF","Jamf Holding Corp. Common Stock","United States","2020","836512","Technology","Computer Software: Prepackaged Software"
"JANX","Janux Therapeutics Inc. Common Stock","United States","2021","374340","Health Care","Biotechnology: Pharmaceutical Preparations"
"JBHT","J.B. Hunt Transport Services Inc. Common Stock","United States","","833497","Industrials","Trucking Freight/Courier Services"
"JBIO","Jade Biosciences Inc. Common Stock","United States","2021","240117","Health Care","Biotechnology: Pharmaceutical Preparations"
