"LENZ","LENZ Therapeutics Inc. Common Stock","United States","2021","156505","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"LESL","Leslie's Inc. Common Stock","United States","2020","3706930","Consumer Discretionary","Other Specialty Stores"
"LFCR","Lifecore Biomedical Inc. Common Stock","United States","","105527","Health Care","Biotechnology: Pharmaceutical Preparations"
"LFMD","LifeMD Inc. Common Stock","United States","","1285479","Health Care","Medical/Nursing Services"
"LFMDP","LifeMD Inc. 8.875% Series A Cumulative Perpetual Preferred Stock","United States","","195","Health Care","Medical/Nursing Services"
"LFST","LifeStance Health Group Inc. Common Stock","United States","2021","1265582","Health Care","Medical/Nursing Services"
"LFUS","Littelfuse Inc. Common Stock","United States","","162565","Energy","Electrical Products"
"LFVN","Lifevantage Corporation Common Stock (Delaware)","United States","","76406","Health Care","Biotechnology: Pharmaceutical Preparations"
"LGIH","LGI Homes Inc. Common Stock","United States","2013","282607","Consumer Discretionary","Homebuilding"
"LGND","Ligand Pharmaceuticals Incorporated Common Stock","United States","","83335","Health Care","Biotechnology: Pharmaceutical Preparations"
"LGVN","Longeveron Inc. Class A Common Stock","United States","2021","315698","Health Care","Biotechnology: Pharmaceutical Preparations"
"LIDR","AEye Inc. Class A Common Stock","United States","2021","217094","Consumer Discretionary","Auto Parts:O.E.M."
"LIDRW","AEye Inc. Warrant","United States","2021","3788","Consumer Discretionary","Auto Parts:O.E.M."
"LIEN","Chicago Atlantic BDC Inc. Common Stock","United States","2022","28543","Finance","Finance: Consumer Services"
"LIF","Life360 Inc. Common Stock","United States","2024","758120","",""
"LILA","Liberty Latin America Ltd. Class A Common Stock","United States","","346671","Telecommunications","Cable & Other Pay Television Services"
"LILAK","Liberty Latin America Ltd. Class C Common Stock","United States","","1438188","Telecommunications","Cable & Other Pay Television Services"
"LIMN","Liminatus Pharma Inc. Class A Common Stock","United States","","275273","",""
"LIMNW","Liminatus Pharma Inc. Warrants","United States","","41075","",""
"LIN","Linde plc Ordinary Shares","United States","","1415831","Industrials","Major Chemicals"
"LINC","Lincoln Educational Services Corporation Common Stock","United States","2005","155065","Real Estate","Other Consumer Services"
"LIND","Lindblad Expeditions Holdings Inc. Common Stock","United States","2013","287510","Consumer Discretionary","Transportation Services"
"LINE","Lineage Inc. Common Stock","United States","2024","807663","Real Estate","Real Estate Investment Trusts"
"LINK","Interlink Electronics Inc. Common Stock","United States","","8183","Technology","Computer peripheral equipment"
"LIPO","Lipella Pharmaceuticals Inc. Common Stock","United States","2022","21329","Health Care","Biotechnology: Pharmaceutical Preparations"
"LITE","Lumentum Holdings Inc. Common Stock","United States","","1667313","Telecommunications","Telecommunications Equipment"
"LIVE","Live Ventures Incorporated Common Stock","United States","","6666","Consumer Discretionary","Other Specialty Stores"
"LIXT","Lixte Biotechnology Holdings Inc. Common Stock","United States","","90842","Health Care","Biotechnology: Pharmaceutical Preparations"
"LIXTW","Lixte Biotechnology Holdings Inc. Warrants","United States","","300","Health Care","Biotechnology: Pharmaceutical Preparations"
"LKFN","Lakeland Financial Corporation Common Stock","United States","","103738","Finance","Major Banks"
"LKQ","LKQ Corporation Common Stock","United States","2003","1336961","Consumer Discretionary","Motor Vehicles"
"LLYVA","Liberty Media Corporation Series A Liberty Live Common Stock","United States","","37105","Industrials","Broadcasting"
"LLYVK","Liberty Media Corporation Series C Liberty Live Common Stock","United States","","127536","Industrials","Broadcasting"
"LMAT","LeMaitre Vascular Inc. Common Stock","United States","2006","229261","Health Care","Medical/Dental Instruments"
"LMB","Limbach Holdings Inc. Common Stock","United States","","344635","Consumer Discretionary","Engineering & Construction"
"LMFA","LM Funding America Inc. Common Stock","United States","2015","29544","Finance","Finance: Consumer Services"
"LMNR","Limoneira Co Common Stock","United States","","74132","Consumer Staples","Farming/Seeds/Milling"
"LNKB","LINKBANCORP Inc. Common Stock","United States","","24985","Finance","Major Banks"
"LNSR","LENSAR Inc. Common Stock","United States","","57830","Health Care","Medical/Dental Instruments"
"LNT","Alliant Energy Corporation Common Stock","United States","","1694166","Utilities","Power Generation"
"LNTH","Lantheus Holdings Inc. Common Stock","United States","2015","1068818","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances"
"LNW","Light & Wonder Inc. Common Stock","United States","","852556","Technology","EDP Services"
"LNZA","LanzaTech Global Inc. Common Stock","United States","2021","1171756","Industrials","Major Chemicals"
"LNZAW","LanzaTech Global Inc. Warrant","United States","2021","22256","Industrials","Major Chemicals"
"LOAN","Manhattan Bridge Capital Inc","United States","","2247","Real Estate","Real Estate Investment Trusts"
"LOCO","El Pollo Loco Holdings Inc. Common Stock","United States","2014","288364","Consumer Discretionary","Restaurants"
"LOGI","Logitech International S.A. Ordinary Shares","United States","1997","530209","Technology","Computer peripheral equipment"
"LOKV","Live Oak Acquisition Corp. V Class A Ordinary Shares","United States","2025","130595","",""
"LOKVU","Live Oak Acquisition Corp. V Units","United States","2025","1059","Finance","Blank Checks"
"LOPE","Grand Canyon Education Inc. Common Stock","United States","2008","229596","Real Estate","Other Consumer Services"
