"NIOBW","NioCorp Developments Ltd. Warrant","United States","","8410","Basic Materials","Metal Mining"
"NIXX","Nixxy Inc. Common Stock","United States","","168885","Technology","EDP Services"
"NIXXW","Nixxy Inc. Warrant","United States","","6120","Technology","EDP Services"
"NKSH","National Bankshares Inc. Common Stock","United States","","9666","Finance","Major Banks"
"NKTR","Nektar Therapeutics  Common Stock","United States","","441319","Health Care","Biotechnology: Pharmaceutical Preparations"
"NKTX","Nkarta Inc. Common Stock","United States","2020","458793","Health Care","Biotechnology: Pharmaceutical Preparations"
"NMFC","New Mountain Finance Corporation Common Stock","United States","","530158","Finance","Finance/Investors Services"
"NMFCZ","New Mountain Finance Corporation 8.250% Notes due 2028","United States","","1466","",""
"NMIH","NMI Holdings Inc. Common Stock","United States","2013","443845","Finance","Property-Casualty Insurers"
"NMRA","Neumora Therapeutics Inc. Common Stock","United States","2023","592105","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)"
"NMRK","Newmark Group Inc. Class A Common Stock","United States","2017","852959","Finance","Real Estate"
"NMTC","NeuroOne Medical Technologies Corporation Common Stock","United States","","52566","Health Care","Medical/Dental Instruments"
"NN","NextNav Inc. Common Stock","United States","","822275","Industrials","Industrial Machinery/Components"
"NNAVW","NextNav Inc. Warrant","United States","","42725","Industrials","Industrial Machinery/Components"
"NNBR","NN Inc. Common Stock","United States","1994","440164","Industrials","Industrial Machinery/Components"
"NNE","Nano Nuclear Energy Inc. Common Stock","United States","2024","2915477","Utilities","Electric Utilities: Central"
"NODK","NI Holdings Inc. Common Stock","United States","2017","20744","Finance","Property-Casualty Insurers"
"NOEM","CO2 Energy Transition Corp. Common Stock","United States","2025","140445","",""
"NOEMR","CO2 Energy Transition Corp. Right","United States","2025","300","",""
"NOEMU","CO2 Energy Transition Corp. Unit","United States","2024","39","",""
"NOEMW","CO2 Energy Transition Corp. Warrant","United States","2025","314","",""
"NOTV","Inotiv Inc. Common Stock","United States","","544420","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"NOVT","Novanta Inc. Common Stock","United States","","216461","Miscellaneous","Industrial Machinery/Components"
"NPACU","New Providence Acquisition Corp. III Units","United States","2025","486899","Finance","Blank Checks"
"NPCE","Neuropace Inc. Common Stock","United States","2021","503419","Health Care","Medical/Dental Instruments"
"NRC","National Research Corporation Common Stock (Delaware)","United States","","103347","Health Care","Biotechnology: Commercial Physical & Biological Resarch"
"NRDS","NerdWallet Inc. Class A Common Stock","United States","2021","744207","Technology","EDP Services"
"NRIM","Northrim BanCorp Inc Common Stock","United States","","104737","Finance","Savings Institutions"
"NRIX","Nurix Therapeutics Inc. Common stock","United States","2020","779250","Health Care","Biotechnology: Pharmaceutical Preparations"
"NRXP","NRX Pharmaceuticals Inc. Common Stock","United States","2017","358054","Health Care","Biotechnology: Pharmaceutical Preparations"
"NRXPW","NRX Pharmaceuticals Inc. Warrant","United States","2017","43804","Health Care","Biotechnology: Pharmaceutical Preparations"
"NSIT","Insight Enterprises Inc. Common Stock","United States","1995","266017","Consumer Discretionary","Catalog/Specialty Distribution"
"NSSC","NAPCO Security Technologies Inc. Common Stock","United States","","442867","Telecommunications","Telecommunications Equipment"
"NSTS","NSTS Bancorp Inc. Common Stock","United States","2022","265","Finance","Savings Institutions"
"NSYS","Nortech Systems Incorporated Common Stock","United States","","2679","Technology","Industrial Machinery/Components"
"NTAP","NetApp Inc. Common Stock","United States","1995","3516004","Technology","Electronic Components"
"NTCT","NetScout Systems Inc. Common Stock","United States","1999","376580","Technology","EDP Services"
"NTGR","NETGEAR Inc. Common Stock","United States","2003","559933","Utilities","Telecommunications Equipment"
"NTHI","NeOnc Technologies Holdings Inc. Common Stock","United States","","20014","Health Care","Biotechnology: Pharmaceutical Preparations"
"NTIC","Northern Technologies International Corporation Common Stock","United States","","44299","Industrials","Industrial Specialties"
"NTLA","Intellia Therapeutics Inc. Common Stock","United States","2016","3283360","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances"
"NTNX","Nutanix Inc. Class A Common Stock","United States","2016","2263184","Technology","Computer Software: Prepackaged Software"
"NTRA","Natera Inc. Common Stock","United States","2015","729346","Health Care","Medical Specialities"
"NTRB","Nutriband Inc. Common Stock","United States","","32129","Health Care","Industrial Specialties"
"NTRBW","Nutriband Inc. Warrant","United States","","431","Health Care","Industrial Specialties"
"NTRP","NextTrip Inc. Common Stock","United States","","18852","Consumer Discretionary","Miscellaneous manufacturing industries"
"NTRS","Northern Trust Corporation Common Stock","United States","","1318630","Finance","Major Banks"
"NTRSO","Northern Trust Corporation Depositary Shares Each Representing a 1/1000th Interest in a Share of Series E Non-Cumulative Perpetual Preferred Stock","United States","","30512","Finance","Major Banks"
"NTWK","NetSol Technologies Inc. Common  Stock","United States","","11063","Technology","Computer Software: Prepackaged Software"
"NTWO","Newbury Street II Acquisition Corp Class A Ordinary Shares","United States","2024","107","",""
